Location,Routing,Routing - Copy,Location - Copy,
"El Vigia, Venezuela",VIG,VIG,"El Vigia, Venezuela",
"El Yopal, Colombia",EYP,EYP,"El Yopal, Colombia",
"Elat, Italy",ETH,ETH,"Elat, Italy",
"Elazig, Turkey",EZS,EZS,"Elazig, Turkey",
"Elba Island, Italy",EBA,EBA,"Elba Island, Italy",
"Elcho Island, Australia",ELC,ELC,"Elcho Island, Australia",
"Eldoret, Kenya",EDL,EDL,"Eldoret, Kenya",
"Eleuthera Island, Bahamas",ELH,ELH,"Eleuthera Island, Bahamas",
"Elfin Cove, AK",ELV,ELV,"Elfin Cove, AK",
"Elim, AK",ELI,ELI,"Elim, AK",
"Elista, Russia",ESL,ESL,"Elista, Russia",
"Elko, NV",EKO,EKO,"Elko, NV",
"Elmira, NY",ELM,ELM,"Elmira, NY",
"Ely, MN",LYU,LYU,"Ely, MN",
"Emae, Vanuata",EAE,EAE,"Emae, Vanuata",
"Embessa, Papua New Guinea",EMS,EMS,"Embessa, Papua New Guinea",
"Emerald, Australia",EMD,EMD,"Emerald, Australia",
"Emmonak, AK",EMK,EMK,"Emmonak, AK",
"Emo, Papua New Guinea",EMO,EMO,"Emo, Papua New Guinea",
"Enarotali, Indonesia",EWI,EWI,"Enarotali, Indonesia",
"Ende, Indonesia",ENE,ENE,"Ende, Indonesia",
"Endicott, NY",BGM,BGM,"Endicott, NY",
"Enewetak Island, Marshall Islands",ENT,ENT,"Enewetak Island, Marshall Islands",
"Enid, OK",WDG,WDG,"Enid, OK",
"Enontekio, Finland",ENF,ENF,"Enontekio, Finland",
"Enshi, China",ENH,ENH,"Enshi, China",
"Entebbe, Uganda",EBB,EBB,"Entebbe, Uganda",
"Enugu, Nigeria",ENU,ENU,"Enugu, Nigeria",
"Epinal, France",EPL,EPL,"Epinal, France",
"Ercan, Cyprus",ECN,ECN,"Ercan, Cyprus",
"Erfurt, Germany",ERF,ERF,"Erfurt, Germany",
"Erie, PA",ERI,ERI,"Erie, PA",
"Erzincan, Turkey",ERC,ERC,"Erzincan, Turkey",
"Erzurum, Turkey",ERZ,ERZ,"Erzurum, Turkey",
"Esbjerg, Denmark - Esbjerg Airport",EBJ,EBJ,"Esbjerg, Denmark - Esbjerg Airport",
"Esbjerg, Denmark - Rail service",ZBB,ZBB,"Esbjerg, Denmark - Rail service",
"Escanaba, MI",ESC,ESC,"Escanaba, MI",
"Esmeraldas, Ecuador",ESM,ESM,"Esmeraldas, Ecuador",
"Esperance, Australia",EPR,EPR,"Esperance, Australia",
"Espiritu Santo, Vanuatu",SON,SON,"Espiritu Santo, Vanuatu",
"Esquel, Argentina",EQS,EQS,"Esquel, Argentina",
"Esquimalt, BC",YPF,YPF,"Esquimalt, BC",
"Eugene, OR",EUG,EUG,"Eugene, OR",
"Eureka, NV",EUE,EUE,"Eureka, NV",
"Eureka/Arcata, CA",ACV,ACV,"Eureka/Arcata, CA",
"Evansville, IN",EVV,EVV,"Evansville, IN",
"Eveter, United Kingdom",EXT,EXT,"Eveter, United Kingdom",
"Ewer, Indonesia",EWE,EWE,"Ewer, Indonesia",
"Exmouth Gulf, Australia",EXM,EXM,"Exmouth Gulf, Australia",
"Fagernes, Norway",VDB,VDB,"Fagernes, Norway",
"Fair Isle, United Kingdom",FIE,FIE,"Fair Isle, United Kingdom",
"Fairbanks, AK",FAI,FAI,"Fairbanks, AK",
"Faisalabad, Pakistan",LYP,LYP,"Faisalabad, Pakistan",
"Fajard, Puerto Rico",FAJ,FAJ,"Fajard, Puerto Rico",
"Fak Fak, Indonesia",FKQ,FKQ,"Fak Fak, Indonesia",
"Fakarava, French Polynesia",FAV,FAV,"Fakarava, French Polynesia",
"Farafangana, Madagascar",RVA,RVA,"Farafangana, Madagascar",
"Fargo, ND",FAR,FAR,"Fargo, ND",
"Farmington, NM",FMN,FMN,"Farmington, NM",
"Faro, Portugal",FAO,FAO,"Faro, Portugal",
"Faroe Islands, Faroe Islands",FAE,FAE,"Faroe Islands, Faroe Islands",
"Fayetteville, AR - Municipal/Drake",FYV,FYV,"Fayetteville, AR - Municipal/Drake",
"Fayetteville, AR - Northwest Arkansas Regional",XNA,XNA,"Fayetteville, AR - Northwest Arkansas Regional",
"Fayetteville, NC",FAY,FAY,"Fayetteville, NC",
"Fera Island, Solomon Islands",FRE,FRE,"Fera Island, Solomon Islands",
"Fergana, Uzbekistan",FEG,FEG,"Fergana, Uzbekistan",
"Fernando De Noronha, Brazil",FEN,FEN,"Fernando De Noronha, Brazil",
"Fez, Morocco",FEZ,FEZ,"Fez, Morocco",
"Fianarantsoa, Madagascar",WFI,WFI,"Fianarantsoa, Madagascar",
"Figari, France",FSC,FSC,"Figari, France",
"Filton, United Kingdom",FZO,FZO,"Filton, United Kingdom",
"Finkenwerder, Germany",XFW,XFW,"Finkenwerder, Germany",
"Fitzroy Crossing, Australia",FIZ,FIZ,"Fitzroy Crossing, Australia",
"Flagstaff, AZ",FLG,FLG,"Flagstaff, AZ",
"Flensburg, Germany",FLF,FLF,"Flensburg, Germany",
"Flin Flon, MB",YFO,YFO,"Flin Flon, MB",
"Flint, MI",FNT,FNT,"Flint, MI",
"Florence, Italy - Gal Galilei",PSA,PSA,"Florence, Italy - Gal Galilei",
"Florence, Italy - Peretola",FLR,FLR,"Florence, Italy - Peretola",
"Florence, SC",FLO,FLO,"Florence, SC",
"Florence/Muscle Shoals/Sheffield, AL",MSL,MSL,"Florence/Muscle Shoals/Sheffield, AL",
"Florencia, Colombia",FLA,FLA,"Florencia, Colombia",
"Flores Island, Portugal",FLW,FLW,"Flores Island, Portugal",
"Flores, Guatemala",FRS,FRS,"Flores, Guatemala",
"Florianopolis, Brazil",FLN,FLN,"Florianopolis, Brazil",
"Floro, Norway",FRO,FRO,"Floro, Norway",
"Foggia, Italy",FOG,FOG,"Foggia, Italy",
"Fond du Lac, SK",ZFD,ZFD,"Fond du Lac, SK",
"Forde, Norway",FDE,FDE,"Forde, Norway",
"Formosa, Argentina",FMA,FMA,"Formosa, Argentina",
"Fort Albany, ON",YFA,YFA,"Fort Albany, ON",
"Fort Chipewyan, AB",YPY,YPY,"Fort Chipewyan, AB",
"Fort Collins/Loveland, CO - Bus service",QWF,QWF,"Fort Collins/Loveland, CO - Bus service",
"Fort Collins/Loveland, CO - Municipal Airport",FNL,FNL,"Fort Collins/Loveland, CO - Municipal Airport",
"Fort Dauphin, Madagascar",FTU,FTU,"Fort Dauphin, Madagascar",
"Fort De France, Martinique",FDF,FDF,"Fort De France, Martinique",
"Fort Dodge, IA",FOD,FOD,"Fort Dodge, IA",
"Fort Frances, ON",YAG,YAG,"Fort Frances, ON",
"Fort Good Hope, NT",YGH,YGH,"Fort Good Hope, NT",
"Fort Hope, ON",YFH,YFH,"Fort Hope, ON",
"Fort Lauderdale, FL",FLL,FLL,"Fort Lauderdale, FL",
"Fort Leonard Wood, MO",TBN,TBN,"Fort Leonard Wood, MO",
"Fort Mcmurray, AB",YMM,YMM,"Fort Mcmurray, AB",
"Fort Myers, FL",RSW,RSW,"Fort Myers, FL",
"Fort Nelson, BC",YYE,YYE,"Fort Nelson, BC",
"Fort Severn, ON",YER,YER,"Fort Severn, ON",
"Fort Simpson, NT",YFS,YFS,"Fort Simpson, NT",
"Fort Smith, AR",FSM,FSM,"Fort Smith, AR",
"Fort Smith, NT",YSM,YSM,"Fort Smith, NT",
"Fort St John, BC",YXJ,YXJ,"Fort St John, BC",
"Fort Walton Beach, FL",VPS,VPS,"Fort Walton Beach, FL",
"Fort Wayne, IN",FWA,FWA,"Fort Wayne, IN",
"Fort Worth/Dallas, TX",DFW,DFW,"Fort Worth/Dallas, TX",
"Fortaleza, Brazil",FOR,FOR,"Fortaleza, Brazil",
"Fox Harbour/St Lewis, NL",YFX,YFX,"Fox Harbour/St Lewis, NL",
"Franca, Brazil",FRC,FRC,"Franca, Brazil",
"Franceville, Gabon",MVB,MVB,"Franceville, Gabon",
"Francistown, Botswana",FRW,FRW,"Francistown, Botswana",
"Frankfurt, Germany - Hahn",HHN,HHN,"Frankfurt, Germany - Hahn",
"Frankfurt, Germany - International",FRA,FRA,"Frankfurt, Germany - International",
"Franklin, PA",FKL,FKL,"Franklin, PA",
"Fredericia, Denmark",ZBJ,ZBJ,"Fredericia, Denmark",
"Fredericton Junction, NB - Rail service",XFC,XFC,"Fredericton Junction, NB - Rail service",
"Fredericton, NB",YFC,YFC,"Fredericton, NB",
"Freeport, Bahamas",FPO,FPO,"Freeport, Bahamas",
"Freetown, Sierra Leone - Lungi Intl",FNA,FNA,"Freetown, Sierra Leone - Lungi Intl",
"Fresno, CA",FAT,FAT,"Fresno, CA",
"Friedrichshafer, Germany",FDH,FDH,"Friedrichshafer, Germany",
"Fuerteventura, Spain",FUE,FUE,"Fuerteventura, Spain",
"Fukue, Japan",FUJ,FUJ,"Fukue, Japan",
"Fukuoka, Japan",FUK,FUK,"Fukuoka, Japan",
"Fukushima, Japan",FKS,FKS,"Fukushima, Japan",
"Funafuti Atol, Tuvalu",FUN,FUN,"Funafuti Atol, Tuvalu",
"Funchal, Portugal",FNC,FNC,"Funchal, Portugal",
"Futuna Island, Vanuatu",FTA,FTA,"Futuna Island, Vanuatu",
"Futuna Island, Wallis and Futuna Islands",FUT,FUT,"Futuna Island, Wallis and Futuna Islands",
"Fuyang, China",FUG,FUG,"Fuyang, China",
"Fuzhou, China",FOC,FOC,"Fuzhou, China",
"Gaborone, Botswana",GBE,GBE,"Gaborone, Botswana",
"Gafsa, Tunisia",GAF,GAF,"Gafsa, Tunisia",
"Gagnoa, Cote D'Ivoire",GGN,GGN,"Gagnoa, Cote D'Ivoire",
"Gainesville, FL",GNV,GNV,"Gainesville, FL",
"Galapagos, Ecuador",GPS,GPS,"Galapagos, Ecuador",
"Gallivare, Sweden",GEV,GEV,"Gallivare, Sweden",
"Gallup, NM",GUP,GUP,"Gallup, NM",
"Galway, Ireland",GWY,GWY,"Galway, Ireland",
"Gamba, Gabon",GAX,GAX,"Gamba, Gabon",
"Gambela, Ethiopia",GMB,GMB,"Gambela, Ethiopia",
"Gan Island, Maldives",GAN,GAN,"Gan Island, Maldives",
"Gander, NL",YQX,YQX,"Gander, NL",
"Gangneung, South Korea",KAG,KAG,"Gangneung, South Korea",
"Garachine, Panama",GHE,GHE,"Garachine, Panama",
"Garaina, Papua New Guinea",GAR,GAR,"Garaina, Papua New Guinea",
"Garasa, Papua New Guinea",GRL,GRL,"Garasa, Papua New Guinea",
"Garden City, KS",GCK,GCK,"Garden City, KS",
"Garden Point, Australia",GPN,GPN,"Garden Point, Australia",
"Garoua, Cameroon",GOV,GOV,"Garoua, Cameroon",
"Gary, IN",GYY,GYY,"Gary, IN",
"Gaspe, QC",YGP,YGP,"Gaspe, QC",
"Gaspe, QC - Rail service",XDD,XDD,"Gaspe, QC - Rail service",
"Gassim, Saudi Arabia",ELQ,ELQ,"Gassim, Saudi Arabia",
"Gaua, Vanuatu",ZGU,ZGU,"Gaua, Vanuatu",
"Gawahati, India",GAU,GAU,"Gawahati, India",
"Gaza City, Occupied Palestinian Territory",GZA,GZA,"Gaza City, Occupied Palestinian Territory",
"Gaziatep, Turkey",GZT,GZT,"Gaziatep, Turkey",
"Gdansk, Poland",GDN,GDN,"Gdansk, Poland",
"Gebe, Indonesia",GEB,GEB,"Gebe, Indonesia",
"Gelendzik, Russia",GDZ,GDZ,"Gelendzik, Russia",
"Geneina, Sudan",EGN,EGN,"Geneina, Sudan",
"General Santos, Philippines",GES,GES,"General Santos, Philippines",
"Geneva, Switzerland",GVA,GVA,"Geneva, Switzerland",
"Genoa, Italy",GOA,GOA,"Genoa, Italy",
"George Town, Bahamas",GGT,GGT,"George Town, Bahamas",
"George, South Africa",GRJ,GRJ,"George, South Africa",
"Georgetown, Guyana",GEO,GEO,"Georgetown, Guyana",
"Georgetown, ON - Rail service",XHM,XHM,"Georgetown, ON - Rail service",
"Geraldton, Australia,",GET,GET,"Geraldton, Australia,",
"Gerona, Spain",GRO,GRO,"Gerona, Spain",
"Gethsemani, QC",ZGS,ZGS,"Gethsemani, QC",
"Ghadames, Libya",LTD,LTD,"Ghadames, Libya",
"Ghardala, Algeria",GHA,GHA,"Ghardala, Algeria",
"Ghat, Libya",GHT,GHT,"Ghat, Libya",
"Gibraltar, Gibraltar",GIB,GIB,"Gibraltar, Gibraltar",
"Gilgit, Pakistan",GIL,GIL,"Gilgit, Pakistan",
"Gillam, MB",YGX,YGX,"Gillam, MB",
"Gillette, WY",GCC,GCC,"Gillette, WY",
"Gillies Bay, BC",YGB,YGB,"Gillies Bay, BC",
"Gisborne, New Zealand",GIS,GIS,"Gisborne, New Zealand",
"Gizan, Saudi Arabia",GIZ,GIZ,"Gizan, Saudi Arabia",
"Gizo, Solomon Islands",GZO,GZO,"Gizo, Solomon Islands",
"Gjoa Haven, NU",YHK,YHK,"Gjoa Haven, NU",
"Gladewater/Kilgore, TX",GGG,GGG,"Gladewater/Kilgore, TX",
"Gladstone, Australia",GLT,GLT,"Gladstone, Australia",
"Glasgow, MT",GGW,GGW,"Glasgow, MT",
"Glasgow, United Kingdom - Glasgow International",GLA,GLA,"Glasgow, United Kingdom - Glasgow International",
"Glasgow, United Kingdom - Prestwick",PIK,PIK,"Glasgow, United Kingdom - Prestwick",
"Glen Innes, Australia",GLI,GLI,"Glen Innes, Australia",
"Glencoe, ON - Rail service",XZC,XZC,"Glencoe, ON - Rail service",
"Glendive, MT",GDV,GDV,"Glendive, MT",
"Goa, India",GOI,GOI,"Goa, India",
"Goba, Ethiopia",GOB,GOB,"Goba, Ethiopia",
"Gobernador Gregores, Argentina",GGS,GGS,"Gobernador Gregores, Argentina",
"Gode/Iddidole, Ethopia",GDE,GDE,"Gode/Iddidole, Ethopia",
"Gods Narrows, MB",YGO,YGO,"Gods Narrows, MB",
"Gods River, MB",ZGI,ZGI,"Gods River, MB",
"Goiania, Brazil",GYN,GYN,"Goiania, Brazil",
"Gold Coast, QL, Australia",OOL,OOL,"Gold Coast, QL, Australia",
"Golfito, Costa Rica",GLF,GLF,"Golfito, Costa Rica",
"Golmud, China",GOQ,GOQ,"Golmud, China",
"Golovin, AK",GLV,GLV,"Golovin, AK",
"Gonalia, Papua New Guinea",GOE,GOE,"Gonalia, Papua New Guinea",
"Gondari, Ethiopia",GDQ,GDQ,"Gondari, Ethiopia",
"Goodnews Bay, AK",GNU,GNU,"Goodnews Bay, AK",
"Goose Bay, NL",YYR,YYR,"Goose Bay, NL",
"Gore, Ethiopia",GOR,GOR,"Gore, Ethiopia",
"Goroka, Papua New Guinea",GKA,GKA,"Goroka, Papua New Guinea",
"Gorontalo, Indonesia",GTO,GTO,"Gorontalo, Indonesia",
"Gothenburg, Sweden - Landvetter",GOT,GOT,"Gothenburg, Sweden - Landvetter",
"Gothenburg, Sweden - Saeve",GSE,GSE,"Gothenburg, Sweden - Saeve",
"Goulburn Island, Australia",GBL,GBL,"Goulburn Island, Australia",
"Goundam, Mali",GUD,GUD,"Goundam, Mali",
"Gove, Australia",GOV,GOV,"Gove, Australia",
"Governador Valadares, Brazil",GVR,GVR,"Governador Valadares, Brazil",
"Governors Harbour, Bahamas",GHB,GHB,"Governors Harbour, Bahamas",
"Goya, CR, Argentina",OYA,OYA,"Goya, CR, Argentina",
"Gozo, Malta",GZM,GZM,"Gozo, Malta",
"Graciosa Island, Portugal",GRW,GRW,"Graciosa Island, Portugal",
"Grafton, Australia",GFN,GFN,"Grafton, Australia",
"Granada, Spain",GRX,GRX,"Granada, Spain",
"Grand Canyon, AZ - Heliport",JGC,JGC,"Grand Canyon, AZ - Heliport",
"Grand Canyon, AZ - National Park",GCN,GCN,"Grand Canyon, AZ - National Park",
"Grand Cayman, Cayman Islands",GCM,GCM,"Grand Cayman, Cayman Islands",
"Grand Forks, ND",GFK,GFK,"Grand Forks, ND",
"Grand Island, NE",GRI,GRI,"Grand Island, NE",
"Grand Junction, CO",GJT,GJT,"Grand Junction, CO",
"Grand Rapids, MI",GRR,GRR,"Grand Rapids, MI",
"Grand Rapids, MN",GPZ,GPZ,"Grand Rapids, MN",
"Grand Turk Island, Turks and Caicos Islands",GDT,GDT,"Grand Turk Island, Turks and Caicos Islands",
"Grande Prairie, AB",YQU,YQU,"Grande Prairie, AB",
"Grayling, AK",KGX,KGX,"Grayling, AK",
"Graz, Austria",GRZ,GRZ,"Graz, Austria",
"Great Falls, MT",GTF,GTF,"Great Falls, MT",
"Green Bay, WI",GRB,GRB,"Green Bay, WI",
"Greensboro, NC",GSO,GSO,"Greensboro, NC",
"Greenville, MS",GLH,GLH,"Greenville, MS",
"Greenville, NC",PGV,PGV,"Greenville, NC",
"Greenville/Spartanburg, SC",GSP,GSP,"Greenville/Spartanburg, SC",
"Grenada, Grenada,",GND,GND,"Grenada, Grenada,",
"Grenoble, France",GNB,GNB,"Grenoble, France",
"Griffith, Australia",GFF,GFF,"Griffith, Australia",
"Grimsby, ON",XGY,XGY,"Grimsby, ON",
"Grimsey, Iceland",GRY,GRY,"Grimsey, Iceland",
"Grise Fiord, NU",YGZ,YGZ,"Grise Fiord, NU",
"Groennedal, Greenland",JGR,JGR,"Groennedal, Greenland",
"Groningen, Netherlands",GRQ,GRQ,"Groningen, Netherlands",
"Groofe Eylandt, Australia",GTE,GTE,"Groofe Eylandt, Australia",
"Groton/New London, CT",GON,GON,"Groton/New London, CT",
"Guadalajara, Mexico",GDL,GDL,"Guadalajara, Mexico",
Guam,GUM,GUM,Guam,
"Guanaja, Honduras",GJA,GJA,"Guanaja, Honduras",
"Guanajuato, Mexico",BJX,BJX,"Guanajuato, Mexico",
"Guangzhou, China",CAN,CAN,"Guangzhou, China",
"Guantanamo, Cuba",GAO,GAO,"Guantanamo, Cuba",
"Guatemala City, Guatemala",GUA,GUA,"Guatemala City, Guatemala",
"Guayaquil, Ecuador",GYE,GYE,"Guayaquil, Ecuador",
"Guayaramerin, Bolivia",GYA,GYA,"Guayaramerin, Bolivia",
"Guaymas, Mexico",GYM,GYM,"Guaymas, Mexico",
"Guelph, ON - Rail service",XIA,XIA,"Guelph, ON - Rail service",
"Guernsey, United Kingdom",GCI,GCI,"Guernsey, United Kingdom",
"Guerrero Negro, Mexico",GUB,GUB,"Guerrero Negro, Mexico",
"Guilin, China",KWL,KWL,"Guilin, China",
"Guiria, Venezuela",GUI,GUI,"Guiria, Venezuela",
"Gulfport, MS",GPT,GPT,"Gulfport, MS",
"Gulu, Uganda",ULU,ULU,"Gulu, Uganda",
"Gulyang, China",KWE,KWE,"Gulyang, China",
"Gunnison, CO",GUC,GUC,"Gunnison, CO",
"Gunsan, South Korea",KUV,KUV,"Gunsan, South Korea",
"Gurayat, Saudi Arabia",URY,URY,"Gurayat, Saudi Arabia",
"Gustavus, AK",GST,GST,"Gustavus, AK",
"Gwadar, Pakistan",GWD,GWD,"Gwadar, Pakistan",
"Gwalior, India",GWL,GWL,"Gwalior, India",
"Gwangju, South Korea",KWJ,KWJ,"Gwangju, South Korea",
"Gyandzha, Azerbaijan",KVD,KVD,"Gyandzha, Azerbaijan",
"Gyourmri, Armenia",LWN,LWN,"Gyourmri, Armenia",
"HaApa, Tonga",HPA,HPA,"HaApa, Tonga",
"Hachijo Jima, Japan",HAC,HAC,"Hachijo Jima, Japan",
"Hagerstown, MD",HGR,HGR,"Hagerstown, MD",
"Hagfors, Sweden",HFS,HFS,"Hagfors, Sweden",
"Haifa, Israel",HFA,HFA,"Haifa, Israel",
"Haikou, China",HAK,HAK,"Haikou, China",
"Hail, Saudi Arabia",HAS,HAS,"Hail, Saudi Arabia",
"Hailar, China",HLD,HLD,"Hailar, China",
"Hailey, ID",SUN,SUN,"Hailey, ID",
"Haines, AK",HNS,HNS,"Haines, AK",
"Haiphong, Viet Nam - Catbi",HPH,HPH,"Haiphong, Viet Nam - Catbi",
"Hakodate, Japan",HKD,HKD,"Hakodate, Japan",
"Halberstadt, Germany",ZHQ,ZHQ,"Halberstadt, Germany",
"Halifax, NS - International",YHZ,YHZ,"Halifax, NS - International",
"Halifax, NS - Rail service",XDG,XDG,"Halifax, NS - Rail service",
"Hall Beach, NU",YUX,YUX,"Hall Beach, NU",
"Halls Creek, Australia",HCQ,HCQ,"Halls Creek, Australia",
"Halmstad, Sweden",HAD,HAD,"Halmstad, Sweden",
"Hamburg, Germany - Fuhisbuettel",HAM,HAM,"Hamburg, Germany - Fuhisbuettel",
"Hamburg, Germany - Luebeck",LBC,LBC,"Hamburg, Germany - Luebeck",
"Hamilton Island, Australia",HTI,HTI,"Hamilton Island, Australia",
"Hamilton, Bermuda",BDA,BDA,"Hamilton, Bermuda",
"Hamilton, New Zealand",HLZ,HLZ,"Hamilton, New Zealand",
"Hamilton, ON",YHM,YHM,"Hamilton, ON",
"Hammerfest, Norway",HFT,HFT,"Hammerfest, Norway",
"Hampton, VA",PHF,PHF,"Hampton, VA",
"Hana, HI - Island of Maui",HNM,HNM,"Hana, HI - Island of Maui",
"Hanapepe, HI",PAK,PAK,"Hanapepe, HI",
"Hancock, MI",CMX,CMX,"Hancock, MI",
"Hangzhou, China",HGH,HGH,"Hangzhou, China",
"Hanimaadhoo, Maldives",HAQ,HAQ,"Hanimaadhoo, Maldives",
"Hanoi, Viet Nam - Noibai",HAN,HAN,"Hanoi, Viet Nam - Noibai",
"Hanover, Germany",HAJ,HAJ,"Hanover, Germany",
"Hanover, NH",LEB,LEB,"Hanover, NH",
"Hanzhang, China",HZG,HZG,"Hanzhang, China",
"Harare, Zimbabwe",HRE,HRE,"Harare, Zimbabwe",
"Harbin, China",HRB,HRB,"Harbin, China",
"Hargeisa, Somolia",HGA,HGA,"Hargeisa, Somolia",
"Harlingen, TX",HRL,HRL,"Harlingen, TX",
"Harrisburg, PA",MDT,MDT,"Harrisburg, PA",
"Harrison, AR",HRO,HRO,"Harrison, AR",
"Harstad-Narvik, Norway",EVE,EVE,"Harstad-Narvik, Norway",
"Hartford, CT",BDL,BDL,"Hartford, CT",
"Hassi Messaoud, Algeria",HME,HME,"Hassi Messaoud, Algeria",
"Hasvik, Norway",HAA,HAA,"Hasvik, Norway",
"Hat Yai, Thailand",HDY,HDY,"Hat Yai, Thailand",
"Hateruma, Japan",HTR,HTR,"Hateruma, Japan",
"Haugesund, Norway",HAU,HAU,"Haugesund, Norway",
"Havana, Cuba",HAV,HAV,"Havana, Cuba",
"Havasupai, AZ",HAE,HAE,"Havasupai, AZ",
"Havre St Pierre, QC",YGV,YGV,"Havre St Pierre, QC",
"Havre, MT",HVR,HVR,"Havre, MT",
"Hay River, NT",YHY,YHY,"Hay River, NT",
"Hayden, CO",HDN,HDN,"Hayden, CO",
"Hayman Island, Australia",HIS,HIS,"Hayman Island, Australia",
"Hays, KS",HYS,HYS,"Hays, KS",
"Healy Lake, AK",HKB,HKB,"Healy Lake, AK",
"Hefei, China",HFE,HFE,"Hefei, China",
"Heidelberg, Germany",HDB,HDB,"Heidelberg, Germany",
"Helena, MT",HLN,HLN,"Helena, MT",
"Helgoland, Germany",HGL,HGL,"Helgoland, Germany",
"Helsinki, Finland",HEL,HEL,"Helsinki, Finland",
"Hendersonville, NC",AVL,AVL,"Hendersonville, NC",
"Heno, Myanmar",HEH,HEH,"Heno, Myanmar",
"Heraklian, Greece",HER,HER,"Heraklian, Greece",
"Heringsdorf, Germany",HDF,HDF,"Heringsdorf, Germany",
"Hermavan, Sweden",HMV,HMV,"Hermavan, Sweden",
"Hermosillo, Mexico",HMO,HMO,"Hermosillo, Mexico",
"Herning, Denmark",XAK,XAK,"Herning, Denmark",
"Hervey Bay, Australia",HVB,HVB,"Hervey Bay, Australia",
"Hervey, QC - Rail service",XDU,XDU,"Hervey, QC - Rail service",
"Hibbing/Chisholm, MN",HIB,HIB,"Hibbing/Chisholm, MN",
"Hickory, NC",HKY,HKY,"Hickory, NC",
"High Level, AB",YOJ,YOJ,"High Level, AB",
"High Point, NC",GSO,GSO,"High Point, NC",
"Hilo, HI - Island of Hawaii",ITO,ITO,"Hilo, HI - Island of Hawaii",
"Hilton Head, SC",HHH,HHH,"Hilton Head, SC",
"Hiroshima, Japan - Hiroshima West",HIW,HIW,"Hiroshima, Japan - Hiroshima West",
"Hiroshima, Japan - International",HIJ,HIJ,"Hiroshima, Japan - International",
"Hivaro, Papua New Guinea",HIT,HIT,"Hivaro, Papua New Guinea",
"Ho Chi Minh City, Viet Nam",SGN,SGN,"Ho Chi Minh City, Viet Nam",
"Hobart, Australia",HBA,HBA,"Hobart, Australia",
"Hobbs, NM",HBB,HBB,"Hobbs, NM",
"Hodeidah, Yemen",HOD,HOD,"Hodeidah, Yemen",
"Hoedspruit, South Africa",HDS,HDS,"Hoedspruit, South Africa",
"Hof, Germany",HOQ,HOQ,"Hof, Germany",
"Hofuf, Saudi Arabia",HOF,HOF,"Hofuf, Saudi Arabia",
"Hohhot, China",HET,HET,"Hohhot, China",
"Hokitika, New Zealand",HKK,HKK,"Hokitika, New Zealand",
"Holguin, Cuba",HOG,HOG,"Holguin, Cuba",
"Hollis, AK",HYL,HYL,"Hollis, AK",
"Holman, NT",YHI,YHI,"Holman, NT",
"Holy Cross, AK",HCR,HCR,"Holy Cross, AK",
"Homer, AK",HOM,HOM,"Homer, AK",
"Hong Kong, Hong Kong",HKG,HKG,"Hong Kong, Hong Kong",
"Honiara, Solomon Islands",HIR,HIR,"Honiara, Solomon Islands",
"Honningsvag, Norway",HVG,HVG,"Honningsvag, Norway",
"Honolulu, HI - Island of Oahu",HNL,HNL,"Honolulu, HI - Island of Oahu",
"Hooker, Australia",HOK,HOK,"Hooker, Australia",
"Hoolehua, HI - Island of Molokai",MKK,MKK,"Hoolehua, HI - Island of Molokai",
"Hoonah, AK",HNH,HNH,"Hoonah, AK",
"Hooper Bay, AK",HPB,HPB,"Hooper Bay, AK",
"Hopedale, NL",YHO,YHO,"Hopedale, NL",
Horn Island Australia,HID,HID,Horn Island Australia,
"Hornafjordur, Iceland",HFN,HFN,"Hornafjordur, Iceland",
"Horta, Portugal",HOR,HOR,"Horta, Portugal",
"Hoskins, Papua New Guinea",HKN,HKN,"Hoskins, Papua New Guinea",
"Hot Springs, AR",HOT,HOT,"Hot Springs, AR",
"Hotan, China",HTN,HTN,"Hotan, China",
"Houeisay, Laos",HOE,HOE,"Houeisay, Laos",
"Houn, Libya",HUQ,HUQ,"Houn, Libya",
"Houston, BC - Bus station",ZHO,ZHO,"Houston, BC - Bus station",
"Houston, TX - All airports",HOU,HOU,"Houston, TX - All airports",
"Houston, TX - Hobby",HOU,HOU,"Houston, TX - Hobby",
"Houston, TX - Intercontinental",IAH,IAH,"Houston, TX - Intercontinental",
"Huahine, French Polynesia",HUH,HUH,"Huahine, French Polynesia",
"Hualien, Taiwan - Phi Bai",HUN,HUN,"Hualien, Taiwan - Phi Bai",
"Hualtin, Thailand",HHQ,HHQ,"Hualtin, Thailand",
"Huanuco, French Polynesia",HUU,HUU,"Huanuco, French Polynesia",
"Huargyan, China",HYN,HYN,"Huargyan, China",
"Huatulco, Mexico",HUX,HUX,"Huatulco, Mexico",
"Hudiksvall, Sweden",HUV,HUV,"Hudiksvall, Sweden",
"Hudson Bay, SK",YHB,YHB,"Hudson Bay, SK",
"Hue, Viet Nam",HUI,HUI,"Hue, Viet Nam",
"Hughenden, Australia",HGD,HGD,"Hughenden, Australia",
"Hughes, AK",HUS,HUS,"Hughes, AK",
"Hultsfred, Sweden",HLF,HLF,"Hultsfred, Sweden",
"Humberside, United Kingdom",HUY,HUY,"Humberside, United Kingdom",
"Huntington, WV/Ashland, KY",HTS,HTS,"Huntington, WV/Ashland, KY",
"Huntsville, AL",HSV,HSV,"Huntsville, AL",
"Hurghada, Egypt",HRG,HRG,"Hurghada, Egypt",
